eventId,circularId,subject,tags,num_tags,union_size,coverage,n_circulars_in_event
GRB 260818B,45403.0,GRB 260818B: NOT optical upper limits,['GRB'],1,3,0.3333333333333333,4
GRB 260818B,45401.0,GRB 260818B: SVOM/COLIBRÍ (FM-GFT) optical upper limit,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260818B,45399.0,GRB 260818B: LCO optical upper limits,"['GRB', 'Optical Transient']",2,3,0.6666666666666666,4
GRB 260818B,45398.0,GRB 260818B: SVOM detection of a short burst,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260810A,45402.0,GRB 260810A: SVOM/GRM observation,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260810A,45392.0,GRB 260810A: Insight-HXMT/HE detection,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,4
GRB 260810A,45365.0,GRB 260810A: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,4
GRB 260810A,45363.0,GRB 260810A: AstroSat CZTI detection of a long burst,"['GRB', 'Gamma-ray Transient', 'X-ray Transient']",3,3,1.0,4
GRB 260818A,45400.0,GRB260818A: EP-FXT follow-up observation,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260818A,45395.0,GRB 260818A: LCO optical upper limits,"['GRB', 'Optical Transient']",2,3,0.6666666666666666,4
GRB 260818A,45393.0,GRB 260818A: SVOM/COLIBRÍ (FM-GFT) optical upper limit,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
GRB 260818A,45391.0,GRB 260818A: SVOM possible detection of a long and faint GRB,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,4
sb26081806,45397.0,SVOM trigger sb26081806 is not a GRB,"['GRB', 'Retraction', 'X-ray Transient']",3,3,1.0,1
EP260806a,45396.0,EP260806a: SAO RAS multicolor optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45390.0,EP260806a: SVOM/ECLAIRs detection through targeted search,['X-ray Transient'],1,2,0.5,13
EP260806a,45389.0,EP260806a: NUTTELA-TAO optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45385.0,EP260806a: WFST optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45354.0,EP260806a: MAO/AZT-22 optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45312.0,EP260806a: ZTF serendipitous detection of ZTF26abmjjnm / AT 2026yeh,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45306.0,EP260806a: COLIBRÍ optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45305.0,EP260806a: refined analysis of the EP-WXT and autonomous EP-FXT observations,['X-ray Transient'],1,2,0.5,13
EP260806a,45304.0,EP260806a: SVOM/VT optical observation,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45303.0,EP260806a: Liverpool Telescope observations of the counterpart show a blue colour,['X-ray Transient'],1,2,0.5,13
EP260806a,45302.0,EP260806a: OSIRIS+/GTC redshift z=0.089,['X-ray Transient'],1,2,0.5,13
EP260806a,45300.0,EP260806a: LCO likely optical counterpart,"['Optical Transient', 'X-ray Transient']",2,2,1.0,13
EP260806a,45299.0,EP260806a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,13
EP260812a,45394.0,EP260812a: AbAO optical upper limit,['X-ray Transient'],1,2,0.5,6
EP260812a,45387.0,EP260812a:  AZT-22 optical upper limit,['X-ray Transient'],1,2,0.5,6
EP260812a,45376.0,EP260812a: NOT and Liverpool Telescope upper limits:,['X-ray Transient'],1,2,0.5,6
EP260812a,45373.0,EP260812a: refined analysis of the EP-WXT and autonomous EP-FXT observation,['X-ray Transient'],1,2,0.5,6
EP260812a,45372.0,EP260812a: SVOM/C-GFT optical upper limit,"['Optical Transient', 'X-ray Transient']",2,2,1.0,6
EP260812a,45362.0,EP260812a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,6
EP260812b,45386.0,EP260812b: GTC/OSIRIS+ tentative spectroscopic redshift z = 2.034,['X-ray Transient'],1,2,0.5,8
EP260812b,45383.0,EP260812b: Optical upper limit with Kinder,['X-ray Transient'],1,2,0.5,8
EP260812b,45375.0,EP260812b: Liverpool Telescope observations,['X-ray Transient'],1,2,0.5,8
EP260812b,45374.0,EP260812b: GOTO detection of the optical counterpart,"['Optical Transient', 'X-ray Transient']",2,2,1.0,8
EP260812b,45371.0,EP260812b: COLIBRÍ optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,8
EP260812b,45370.0,EP260812b: SVOM/VT optical observation,"['Optical Transient', 'X-ray Transient']",2,2,1.0,8
EP260812b,45368.0,EP260812b: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,8
EP260812b,45367.0,EP trigger #01709278129 (EP260812b?): NOT optical counterpart,"['Optical Transient', 'X-ray Transient']",2,2,1.0,8
GRB 260805D,45381.0,GRB 260805D: SVOM/GRM detection of a possible magnetar burst,"['GRB', 'X-ray Transient']",2,2,1.0,1
GRB 260808B,45380.0,GRB 260808B: Liverpool Telescope further optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45379.0,GRB 260808B: GTC/OSIRIS+ spectroscopic redshift z = 1.295,['GRB'],1,4,0.25,18
GRB 260808B,45364.0,GRB 260808B: SVOM/COLIBRÍ (FM-GFT) confirmation of the optical rebrightening,"['GRB', 'Optical Transient', 'X-ray Transient']",3,4,0.75,18
GRB 260808B,45360.0,GRB 260808B: SAO RAS optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45359.0,GRB 260808B: SVOM/VT optical re-brightening at day 3,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45352.0,GRB260808B: MAO/AZT-22 optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45341.0,GRB 260808B: SVOM/COLIBRÍ (FM-GFT) optical observation,"['GRB', 'Optical Transient', 'X-ray Transient']",3,4,0.75,18
GRB 260808B,45334.0,GRB 260808B: J-band upper limit with WINTER,['GRB'],1,4,0.25,18
GRB 260808B,45333.0,GRB 260808B: SVOM/ECLAIRs refined analysis,"['GRB', 'X-ray Transient']",2,4,0.5,18
GRB 260808B,45330.0,GRB 260808B: Liverpool Telescope optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45329.0,GRB 260808B: NOT optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45328.0,GRB 260808B: LCO optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45323.0,GRB260808B: OHP/T193 optical observations,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45322.0,GRB 260808B / EPF_J230056.0+082842: EP-FXT follow-up observation,"['GRB', 'X-ray Transient']",2,4,0.5,18
GRB 260808B,45320.0,GRB 260808B: SVOM/VT optical afterglow confirmation,"['Afterglow', 'GRB', 'Optical Transient']",3,4,0.75,18
GRB 260808B,45318.0,GRB 260808B: SVOM/VT optical candidate from VHF data ( localization correction for GCN 45317 ),"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45317.0,GRB 260808B: SVOM/VT optical candidate from VHF data,"['GRB', 'Optical Transient']",2,4,0.5,18
GRB 260808B,45316.0,GRB 260808B: SVOM detection of a faint burst,"['GRB', 'X-ray Transient']",2,4,0.5,18
GRB 260813A,45378.0,GRB 260813A: BALROG localization (Fermi Trigger 808341387 / GRB 260813803),"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260813A,45377.0,GRB 260813A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260808A,45369.0,GRB 260808A: SVOM/GRM observation,"['GRB', 'X-ray Transient']",2,4,0.5,7
GRB 260808A,45356.0,GRB 260808A: GECAM-B observation,"['GRB', 'Gamma-ray Transient']",2,4,0.5,7
GRB 260808A,45347.0,GRB 260808A: CALET Gamma-Ray Burst Monitor detection,"['GRB', 'Gamma-ray Transient']",2,4,0.5,7
GRB 260808A,45327.0,GRB 260808A: NuSTAR detection of prompt emission,"['GRB', 'X-ray Transient']",2,4,0.5,7
GRB 260808A,45315.0,GRB 260808A: BALROG localization (Fermi Trigger 807850307 / GRB 260808119),"['GRB', 'Gamma-ray Transient']",2,4,0.5,7
GRB 260808A,45314.0,Fermi GRB 260808A: Global MASTER-Net observations report,"['GRB', 'Gamma-ray Transient', 'Optical Transient']",3,4,0.75,7
GRB 260808A,45313.0,GRB 260808A: Fermi GBM Final Real-time Localization,"['GRB', 'Gamma-ray Transient']",2,4,0.5,7
GRB 260809A,45366.0,Fermi GBM Sub-Threshold Detection of GRB 260809A,"['GRB', 'Gamma-ray Transient']",2,4,0.5,10
GRB 260809A,45361.0,GRB 260809A: SAO RAS optical observations,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260809A,45350.0,GRB 260809A: J-band upper limit with WINTER,['GRB'],1,4,0.25,10
GRB 260809A,45344.0,GRB260809A/EPF_J234751.2+210212: EP-FXT follow-up observation,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260809A,45342.0,GRB 260809A: SVOM/COLIBRÍ (FM-GFT) optical observation,"['GRB', 'Optical Transient', 'X-ray Transient']",3,4,0.75,10
GRB 260809A,45340.0,GRB 260809A: NOT optical observations,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260809A,45339.0,GRB260809A: MAO/AZT-22 optical observations,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260809A,45338.0,GRB260809A: OHP/T193 optical observations,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260809A,45336.0,GRB 260809A: SVOM/VT optical counterpart,"['GRB', 'Optical Transient']",2,4,0.5,10
GRB 260809A,45331.0,GRB 260809A: SVOM detection of a faint burst,"['GRB', 'X-ray Transient']",2,4,0.5,10
GRB 260317A,45358.0,GRB 260317A: SVOM/ECLAIRs detection through offline targeted search and its possible association to magnetar 1E 1841-04.5,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,2
GRB 260317A,44041.0,GRB 260317A: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,2
GRB 260806A,45357.0,GRB 260806A: CALET Gamma-Ray Burst Monitor detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260806A,45348.0,GRB 260806A: Glowbug gamma-ray detection,"['GRB', 'Gamma-ray Transient']",2,2,1.0,2
GRB 260807A,45355.0,GRB 260807A: SVOM/ECLAIRs refined analysis,"['GRB', 'X-ray Transient']",2,2,1.0,3
GRB 260807A,45309.0,GRB 260807A: SVOM/COLIBRÍ (FM-GFT) optical upper limit,"['GRB', 'X-ray Transient']",2,2,1.0,3
GRB 260807A,45308.0,GRB 260807A: SVOM possible detection of a faint burst,"['GRB', 'X-ray Transient']",2,2,1.0,3
IceCube-260807A,45353.0,IceCube-260807A: Upper limits from a search for additional neutrino events in IceCube,['Neutrino'],1,1,1.0,2
IceCube-260807A,45307.0,IceCube-260807A - IceCube observation of a high-energy neutrino candidate track-like event,['Neutrino'],1,1,1.0,2
GRB 250607A,45351.0,GRB 250607A: SVOM/ECLAIRs detection through offline targeted search,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,3
GRB 250607A,40651.0,GRB 250607A: SVOM/GRM observation of a long burst,"['GRB', 'X-ray Transient']",2,3,0.6666666666666666,3
GRB 250607A,40648.0,GRB 250607A: Fermi GBM Final Localization,"['GRB', 'Gamma-ray Transient']",2,3,0.6666666666666666,3
EP260809a,45349.0,EP260809a: VLT/X-shooter spectroscopic redshift z = 3.07,['X-ray Transient'],1,2,0.5,7
EP260809a,45335.0,EP260809a: J-band upper limit with WINTER,['X-ray Transient'],1,2,0.5,7
EP260809a,45332.0,EP260809a:refined analysis of the EP-WXT and autonomous EP-FXT observation,['X-ray Transient'],1,2,0.5,7
EP260809a,45326.0,EP260809a: COLIBRÍ optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,7
EP260809a,45325.0,EP260809a: LCO optical observation ,"['Optical Transient', 'X-ray Transient']",2,2,1.0,7
EP260809a,45324.0,EP260809a: OHP/T193 optical observations,"['Optical Transient', 'X-ray Transient']",2,2,1.0,7
EP260809a,45321.0,EP260809a: Einstein Probe detection of an X-ray transient,['X-ray Transient'],1,2,0.5,7
